"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence","Nectar_ul","Pollen_per_flower"
"Sisyrinchium angustifolium","Asparagales","Iridaceae","Sisyrinchium","Sisyrinchium angustifolium","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,6,1.2,1,60.5,"herb","Perennial",0.23,"no",0,10714
"Sium cicutaefolium","Apiales","Apiaceae","Sium","Sium suave","Monoecious","self_compatible","low",14.61915,"Open","actinomorphic",200,2.1,2.5,0.5,2,"herb","Perennial",0.9,"yes",0.524046049999999,17608.063
"Smilax anceps","Liliales","Smilacaceae","Smilax","Smilax anceps","Dioecious","dioecious","none",0,"Open","actinomorphic",120,3.1,4,3,3,"vine","Perennial",2.5,"no",0,149118.45945
"Smilax herbacea","Liliales","Smilacaceae","Smilax","Smilax herbacea","Dioecious","dioecious","none",0,"Open","actinomorphic",360,12,1.2,2.5,3.5,"herb","Perennial",1.25,"no",0,119996.839033333
"Smilax hispida","Liliales","Smilacaceae","Smilax","Smilax hispida","Dioecious","dioecious","none",0,"Open","actinomorphic",150,6,1,1,2,"vine","Perennial",4.5,"yes",2.62862265,127342.2661
"Sobralia liliastrum","Asparagales","Orchidaceae","Sobralia","Sobralia liliastrum","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",1,100,65,35,15000,"herb","Perennial",1.7,"yes",21.488006,317789.54725
"Solanum americanum","Solanales","Solanaceae","Solanum","Solanum americanum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,10,3.3,3.25,45,"herb","Short lived",0.5,"no",0,29960.9881121428
"Solanum carolinense","Solanales","Solanaceae","Solanum","Solanum carolinense","Dioecious","self_incompatible","low",13,"Open","actinomorphic",10,24.1,6.1,12.5,45,"herb","Perennial",0.5,"no",0,266381.235123333
"Lycopersicon cheesmanii","Solanales","Solanaceae","Solanum","Solanum cheesmaniae","Hermaphrodite","self_compatible","low",14.23976,"Open","actinomorphic",10,23,2,5.5,45,"herb","Perennial",1,"no",0,162080.406183333
"Solanum rostratum","Solanales","Solanaceae","Solanum","Solanum rostratum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",40,25,7,13.5,63.2,"herb","Short lived",0.5,"no",0,822000
"Solidago canadensis","Asterales","Asteraceae","Solidago","Solidago canadensis","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",800,7.5,2.1,4,16,"herb","Perennial",1.5,"yes",2.71686487222222,208547.1947
"Solidago nemoralis","Asterales","Asteraceae","Solidago","Solidago nemoralis","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",250,12,3.55,4.25,14.5,"herb","Perennial",0.6,"yes",1.44199722222222,125174.367366667
"Solidago rigida","Asterales","Asteraceae","Solidago","Solidago rigida","Hermaphrodite","self_compatible","medium",52.5,"Capitulum","actinomorphic",200,8.7,5.5,4.4,22.5,"herb","Perennial",0.9,"yes",0.06,67203.1118033333
"Solidago sempervirens","Asterales","Asteraceae","Solidago","Solidago sempervirens","Monoecious","self_compatible","low",13,"Capitulum","actinomorphic",100,12,5,3.8,16,"herb","Perennial",1.2,"yes",1.91346833333333,168680.93935
"Solidago serotina","Asterales","Asteraceae","Solidaga","Solidago serotina","Hermaphrodite","self_compatible","low",12.5968166666667,"Capitulum","actinomorphic",200,10,10,10,16,"herb","Perennial",1.5,"yes",2.48107333333333,191945.336333333
"Solidago speciosa","Asterales","Asteraceae","Solidago","Solidago speciosa","Hermaphrodite","self_incompatible","low",10.34878,"Capitulum","actinomorphic",50,6.35,6.5,5.15,16.5,"herb","Perennial",0.95,"yes",1.38274722222222,164762.92025
"Solidago ulmifolia","Asterales","Asteraceae","Solidago","Solidago ulmifolia","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",250,6.35,6.5,3.1,10,"herb","Perennial",0.8,"yes",1.27954583333333,50995.6105
"Solidago virgaurea","Asterales","Asteraceae","Solidago","Solidago virgaurea","Hermaphrodite","partially_self_compatible","medium",50.5,"Capitulum","actinomorphic",50,4,12.5,2,5,"herb","Perennial",0.65,"yes",32.1999641666667,38349.75405
"Sonchus oleraceus","Asterales","Asteraceae","Sonchus","Sonchus oleraceus","Hermaphrodite","self_compatible","medium",70.91,"Capitulum","actinomorphic",3,22.5,7,12,165,"herb","Short lived",0.95,"yes",9.75198799999999,58241
"Sonchus tenerrinus","Asterales","Asteraceae","Sonchus","Sonchus tenerrimus","Hermaphrodite","self_compatible","medium",70.89017,"Capitulum","actinomorphic",10,14,6.5,9.5,100,"herb","Short lived",0.3,"no",0,280.631
"Soulamea terminalioides","Sapindales","Simaroubaceae","Solulamea","Soulamea terminaloides","Dioecious","dioecious","none",0,"Open","actinomorphic",12317.5695238095,2.5,3.3,0.1,1,"tree","Perennial",8.68848660714285,"yes",2.14187348333333,126206.375
"Spartium junceum","Fabales","Fabaceae","Spartium","Spartium junceum","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",500,25,25,4,16.9,"shrub","Perennial",1.5,"no",0,63956
"Spenceria ramalana","Rosales","Rosaceae","Spenceria","Spenceria ramalana","Hermaphrodite","self_compatible","low",10.34066,"Open","actinomorphic",15,16,1.5,4.5,2,"herb","Perennial",0.25,"yes",3.33573765,154615
"Borreria capitata","Gentianales","Rubiaceae","Spermacoce","Spermacoce capitata","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",500,2,1.9,4.85,2,"shrub","Perennial",0.75,"yes",5.78919211666667,14968.8189166667
"Borreria ericaefolia","Gentianales","Rubiaceae","Spermacoce","Spermacoce divaricata","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",377.964166666667,1.5,1.5,0.2,2,"herb","Perennial",0.6,"yes",1.21001081666667,5871.80218571429
"Borreria eryngioides","Gentianales","Rubiaceae","Spermacoce","Spermacoce eryngioides","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",15,2,1.9,0.35,2,"herb","Perennial",0.2,"yes",0.15,545.8
"Diodia multiflora","Gentianales","Rubiaceae","Spermacoce","Spermacoce multiflora","Hermaphrodite","self_compatible","medium",33.33,"Tube","actinomorphic",5,2,4,6,2,"herb","Perennial",0.75,"yes",1.86528666666667,16714.05474
"Spharealcea_miniata","Malvales","Malvaceae","Sphaeralcea","Sphaeralcea miniata","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",50,20,5,4,38.6963416666667,"herb","Perennial",1.25,"yes",1.42299,118311.965666667
"Spiraea alba","Rosales","Rosaceae","Spiraea","Spiraea alba","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",100,5.5,1,0.9,19,"shrub","Perennial",1.2,"yes",0.05,37829.2328966667
"Spiraea myrtilloides","Rosales","Rosaceae","Spiraea","Spiraea myrtilloides","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",60,5.5,2,2,19,"shrub","Perennial",2.5,"yes",1.83754363333333,44189.53608
"Spiranthes gracilis","Asparagales","Orchidaceae","Spiranthes","Spiranthes lacera","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",20,6,6.6,3,2291.061,"herb","Perennial",0.45,"yes",15.666175,185781.974766667
"Stachys kouyangensis","Lamiales","Lamiaceae","Stachys","Stachys kouyangensis","Hermaphrodite","self_compatible","low",16.6492,"Tube","zygomorphic",6,11.1,15,11,4,"herb","Perennial",0.25,"yes",1.77093333333333,49113.2078333333
"Stachys sylvatica","Lamiales","Lamiaceae","Stachys","Stachys sylvatica","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",20,7,7,4.5,4,"herb","Perennial",0.75,"yes",1.29764681666667,48776.41575
"Stachtarpheta cayanensis","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta cayennensis","Hermaphrodite","self_compatible","low",17.8881666666667,"Tube","actinomorphic",4,8,11.5,5,2,"herb","Perennial",1.25,"yes",4.50160378333333,41300.35175
"Verbena angustifolia","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta indica","Hermaphrodite","self_compatible","high",85.07,"Tube","actinomorphic",4,8,9,5,2,"herb","Perennial",1,"yes",5.38146015,13084.852
"Stachytapheta jamaicencis","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta jamaicensis","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",4,8,8.1,5.1,2,"herb","Perennial",1,"yes",15,82
"Stachyurus praecox","Crossosomatales","Stachyuraceae","Stachyurus","Stachyurus praecox","Dioecious","self_incompatible","none",0,"Tube","actinomorphic",30000,7.5,7.5,4.5,12,"shrub","Perennial",2.1,"yes",1.4992928,27792
"Stackhousia pulvinaris","Celastrales","Celastraceae","Stackhousia","Stackhousia pulvinaris","Hermaphrodite","self_compatible","low",16.24305,"Tube","actinomorphic",70,5.5,4.45,2,2,"herb","Perennial",0.05,"yes",2.0177037,30417.2391
"Staelia thymoides","Gentianales","Rubiaceae","Staelia","Staelia thymoides","Hermaphrodite","self_compatible","low",18.5245333333333,"Tube","actinomorphic",100,2,4.25,4.75,2,"herb","Perennial",0.2,"yes",0.9182678,15693.45375
"Staphylea bumalda","Crossosomatales","Staphyleaceae","Staphylea","Staphylea bumalda","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",750,2.1,6.1,7,24,"shrub","Perennial",3.5,"yes",2.8200053,142603.733
"Staphylea trifolia","Ericales","Ericaceae","Staphylea","Staphylea trifolia","Hermaphrodite","partially_self_compatible","none",0,"Campanulate","actinomorphic",400,6.5,7,5,24,"shrub","Perennial",3.5,"yes",4.54822015,177135.075
"Stauntonia hexaPhylla","Ranunculales","Lardizabalaceae","Stauntonia","Stauntonia hexaphylla","Monoecious","monoecious","none",0,"Campanulate","actinomorphic",1500,15,15,5,1155.6177,"vine","Perennial",3.5,"yes",36.8683583333333,554658.49425
"Stegolepsis angustata","Poales","Rapateaceae","Stegolepis","Stegolepis angustata","Hermaphrodite","partially_self_compatible","low",23,"Tube","actinomorphic",35,12,19.5,20,15.68,"herb","Perennial",0.6,"no",0,125950.278233333
"Steironema quadriflorum","Ericales","Primulaceae","Steironema","Steironema quadriflorum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,14.5,4,4.75,25,"herb","Perennial",0.56,"yes",1.547603,104300.093809524
"Stellaria graminea","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria graminea","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",10,9.5,2,3,60,"herb","Perennial",0.3,"yes",1.4259505,6100
"Stellaria longifolia","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria longifolia","Hermaphrodite","self_compatible","low",19.04405,"Open","actinomorphic",20,9,1.1,1,60,"herb","Perennial",0.25,"yes",1.6113925,14700
"Stellaria longipes","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria longipes","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",40,9.1,2,2.25,60,"herb","Perennial",0.2,"yes",1.71648857142857,51447.4156
"Stellaria palustris","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria palustris","Hermaphrodite","self_compatible","low",14.6504833333333,"Open","actinomorphic",3,16,3.2,3,60,"herb","Perennial",0.37,"yes",3.078355,94500
"Stellaria uchiyamana","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria uchiyamana","Hermaphrodite","self_compatible","low",15.64675,"Open","actinomorphic",15,10,2,0.75,60,"herb","Perennial",0.45,"yes",2.05045515,55359.3089404762
"Stellaria alsine","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria uliginosa","Hermaphrodite","self_compatible","low",16.9527,"Open","actinomorphic",10,6,2,0.75,60,"herb","Perennial",0.15,"yes",2.93639515,5658
"Stellaria yunnanensis","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria yunnanensis","Hermaphrodite","self_compatible","low",16.099,"Open","actinomorphic",40,10.5,2,4.5,60,"herb","Perennial",0.2,"yes",1.834205,6471
"Stellera chamaejasme","Malvales","Thymelaeaceae","Stellera","Stellera chamaejasme","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",1000,6,18,3,31.12,"herb","Perennial",0.35,"yes",13.4037483333333,128850.7714
"Stenactis annuus","Asterales","Asteraceae","Stenactis","Stenactis annua","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",10,31.12,8,2.2,200,"herb","Short lived",0.9,"yes",9.55542966666666,123471.753720833
"Stenanthium angustifolium","Liliales","Melanthiaceae","Stenanthium","Stenanthium gramineum","Hermaphrodite","self_compatible","low",12.8568416666667,"Open","actinomorphic",150,15,7.5,0.6,21,"herb","Perennial",0.9,"yes",3.31309515,62329.4638333333
"Stephanandra incisa","Rosales","Rosaceae","Stephanandra","Stephanandra incisa","Hermaphrodite","self_compatible","low",14.95465,"Open","actinomorphic",75,4.5,2,2,2,"shrub","Perennial",1.25,"yes",0.432533854761904,47292.65171
"Stillingia lineata","Malpighiales","Euphorbiaceae","Stillingia","Stillingia lineata","Monoecious","monoecious","none",0,"Tube","actinomorphic",450,1,1,1,3,"shrub","Perennial",4.1,"no",0,77713.653
"Strophostyles helvola","Fabales","Fabaceae","Strophostyles","Strophostyles helvula","Hermaphrodite","self_compatible","low",13.47615,"Papilionaceous","zygomorphic",15,12.1,10.1,10,10,"vine","Short lived",2,"yes",3.764885,113705.974041667
"Strophostyles pauciflora","Fabales","Fabaceae","Strophostyles","Strophostyles leiosperma","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",1,7,6,6,5.3,"vine","Short lived",0.9,"yes",3.02381,42642.76206
"Stylidium graminifolium","Asterales","Stylidiaceae","Stylidium","Stylidium graminifolium","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",25,10,7.5,5,117.6,"herb","Perennial",0.5,"yes",16.61554,63189.5563333333
"Stylosanthes biflora","Fabales","Fabaceae","Stylosanthes","Stylosanthes biflora","Hermaphrodite","self_compatible","low",14.9200166666667,"Papilionaceous","zygomorphic",10,8.1,9,9.5,2,"herb","Perennial",2.4,"yes",2.67726015,69542.8628333333
"Stylosanthes hamata","Fabales","Fabaceae","Stylosanthes","Stylosanthes hamata","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",5,4.5,4.5,4.5,2.5,"herb","Short lived",0.75,"yes",1.25240681666667,18195.8979933333
"Succisa pratensis","Dipsacales","Caprifoliaceae","Succisa","Succisa pratensis","Dioecious","self_compatible","none",0,"Capitulum","actinomorphic",450,3.5,7.0611,8,23.0006,"herb","Perennial",0.65,"yes",2.06863615,111811.977555
"Suriana maritima","Fabales","Surianaceae","Suriana","Suriana maritima","Hermaphrodite","self_compatible","low",20,"Open","actinomorphic",200,20,3,4,10,"shrub","Perennial",2.5,"yes",2.85971628333333,62312.9196
"Swertia bimaculata","Gentianales","Gentianaceae","Swertia","Swertia bimaculata","Hermaphrodite","self_compatible","medium",36.4,"Open","actinomorphic",10,22.5,5,5,73.3,"herb","Short lived",1.15,"yes",15,62406
"Swertia forrestii","Gentianales","Gentianaceae","Swertia","Swertia forrestii","Hermaphrodite","self_compatible","low",14.13765,"Open","actinomorphic",10,17.5,6.39857619047619,0.5,73.3,"herb","Perennial",0.225,"yes",3.49886,114459.587797857
"Symphoricarpos orbicularis","Dipsacales","Caprifoliaceae","Symphoricarpos","Symphoricarpos orbicularis","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",3050.08752705628,2.5,4,1.5,2,"shrub","Perennial",1,"yes",3.1015531,40136.81796
"Aster anomalus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum anomalus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",50,25,7,5,70,"herb","Perennial",1.2,"yes",0.641419183333334,320191.086421111
"Aster sagittifolius","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum cordifolium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",50,15.5,5,5,28.5,"herb","Perennial",0.7,"yes",0.597376,201229.040266111
"Aster ericoides villosus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum ericoides","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",300,12,8.1,3.8,28.5,"herb","Perennial",0.5,"yes",0.03,196751.63366
"Aster paniculatus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum lanceolatum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",150,28.1,8,5,28.5,"herb","Perennial",1.3,"yes",0.484069933333334,292710.485155
"Aster lateriflorus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum lateriflorum","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",50,12,4,5,30,"herb","Perennial",0.6,"yes",1.60274888888889,131740.904476667
"Aster novaeangliae","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum nova-angliciae","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",25,28,21.1,4,70,"herb","Perennial",0.75,"yes",0.03,197497.045758968
"Aster turbinellus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum turbinellum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",25,27.1,20.1,5,34.5,"herb","Perennial",0.68,"yes",0.778398600000001,149179.485103968
"Symplocos microcalyx","Ericales","Symplocaceae","Symplocos","Symplocos microcalyx","Hermaphrodite","self_incompatible","none",0,"Brush","actinomorphic",1000,10,6.95549444444445,3,8,"shrub","Perennial",2,"yes",3.0522,459712.151333333
"Symplocos chinensis","Ericales","Symplocaceae","Symplocos","Symplocos paniculata","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",7000,9,3.86957777777778,3,8,"shrub","Perennial",2,"yes",1.85857166666667,72724.0936166667
"Synqonanthus caulescens","Poales","Eriocaulaceae","Syngonanthus","Syngonanthus caulescens","Hermaphrodite","self_compatible","low",13,"Capitulum","actinomorphic",10,2,1,0.5,2,"herb","Perennial",0.14,"no",0,110290.099005
"Syzygium commersonii","Myrtales","Myrtaceae","Syzygium","Syzygium commersonii","Hermaphrodite","self_compatible","low",11.18265,"Open","actinomorphic",474.73,24.585125,12.2231666666667,10.2541833333333,32,"shrub","Perennial",0.5,"yes",20.4,321731.314
"Syzygium coriaceum","Myrtales","Myrtaceae","Syzygium","Syzygium coriaceum","Hermaphrodite","self_compatible","low",10.26605,"Open","actinomorphic",500,14.2769166666667,6.29286111111111,4.317509375,32,"shrub","Perennial",2.227525,"yes",0.4,176753.5955
"Syzygium glomeratum","Myrtales","Myrtaceae","Syzygium","Syzygium glomeratum","Hermaphrodite","self_compatible","low",9.33481666666666,"Brush","actinomorphic",1000,11.7740166666667,6.3566,1,15,"tree","Perennial",5,"yes",0.3,662994.37425
"Syzygium jambos","Myrtales","Myrtaceae","Syzygium","Syzygium jambos","Hermaphrodite","self_compatible","medium",72.5,"Brush","actinomorphic",1000,75,75,40,60,"tree","Perennial",9.5,"yes",55.593666,939548.552
"Syzygium mauritianum","Myrtales","Myrtaceae","Syzygium","Syzygium mauritianum","Hermaphrodite","self_compatible","low",13,"Brush","actinomorphic",5944.52916666667,19.1,20,15.25,32,"tree","Perennial",4.5,"yes",24.2,717299.4715
"Syzygium petrinese","Myrtales","Myrtaceae","Syzygium","Syzygium petrinense","Hermaphrodite","self_compatible","low",9.69476666666667,"Brush","actinomorphic",1548.82857142857,16.9315,7.35055,7.313209375,32,"shrub","Perennial",2.7902,"yes",2.9,745768.6645
